timestamp,wardType,killerId
512446,CONTROL_WARD,1.0
700606,SIGHT_WARD,2.0
719710,CONTROL_WARD,7.0
721278,UNDEFINED,9.0
743728,YELLOW_TRINKET,10.0
817931,YELLOW_TRINKET,10.0
888610,YELLOW_TRINKET,10.0
951264,YELLOW_TRINKET,2.0
1418771,SIGHT_WARD,7.0
1436539,YELLOW_TRINKET,8.0
1441377,CONTROL_WARD,3.0
1451956,YELLOW_TRINKET,2.0
1456769,YELLOW_TRINKET,2.0
1461411,UNDEFINED,7.0
1505006,YELLOW_TRINKET,10.0
1613514,YELLOW_TRINKET,7.0
