timestamp,assistingParticipantIds,bounty,killerId,position,killerTeamId,monsterSubType,monsterType
353613,"[4, 5]",0.0,2.0,"{'x': 9866, 'y': 4414}",100.0,HEXTECH_DRAGON,DRAGON
583553,[8],0.0,7.0,"{'x': 4995, 'y': 10457}",200.0,,RIFTHERALD
733790,"[9, 10]",0.0,7.0,"{'x': 9866, 'y': 4414}",200.0,FIRE_DRAGON,DRAGON
1052641,"[3, 5, 6, 8, 10]",0.0,7.0,"{'x': 10106, 'y': 4637}",200.0,WATER_DRAGON,DRAGON
1107049,,0.0,7.0,"{'x': 5001, 'y': 10165}",200.0,,RIFTHERALD
1368325,"[2, 7, 8, 10]",0.0,6.0,"{'x': 9866, 'y': 4414}",200.0,WATER_DRAGON,DRAGON
1533158,"[6, 8, 10]",0.0,7.0,"{'x': 5007, 'y': 10471}",200.0,,BARON_NASHOR
